city,temperature,carbon_intensity,date_time
Paris,5.14,71.0,2025-02-12 22:35:33
Paris,4.48,71.0,2025-02-13 10:26:25
Paris,4.67,71.0,2025-02-13 10:37:37
Tokyo,5.19,71.0,2025-02-13 10:35:07
Paris,4.67,71.0,2025-02-13 10:37:37
Arrondissement de Marseille,12.16,71.0,2025-02-13 10:35:45
Arrondissement de Lyon,6.36,71.0,2025-02-13 10:36:02
Dakar,19.07,71.0,2025-02-13 10:35:23
Paris,4.67,71.0,2025-02-13 10:37:37
Paris,4.48,71.0,2025-02-13 10:35:27
Paris,4.82,72.0,2025-02-13 10:42:42
Paris,4.9,72.0,2025-02-13 10:47:06
Paris,4.9,72.0,2025-02-13 10:47:06
Paris,5.21,69.0,2025-02-13 11:29:02
Paris,5.21,69.0,2025-02-13 11:29:02
Paris,5.21,69.0,2025-02-13 11:24:58
Paris,5.21,69.0,2025-02-13 11:24:58
Paris,5.21,69.0,2025-02-13 11:24:51
Paris,5.21,69.0,2025-02-13 11:29:53
Paris,5.21,69.0,2025-02-13 11:29:02
Paris,5.21,69.0,2025-02-13 11:29:02
Paris,5.24,69.0,2025-02-13 11:34:07
Paris,5.24,69.0,2025-02-13 11:34:07
Paris,5.24,69.0,2025-02-13 11:34:07
Paris,5.24,69.0,2025-02-13 11:40:00
Paris,5.24,71.0,2025-02-13 11:40:00
Paris,5.24,71.0,2025-02-13 11:40:00
Paris,5.24,71.0,2025-02-13 11:39:06
Paris,5.24,71.0,2025-02-13 11:39:06
Paris,5.24,71.0,2025-02-13 11:39:06
Paris,5.24,71.0,2025-02-13 11:39:06
Paris,5.24,71.0,2025-02-13 11:39:44
Paris,5.4,71.0,2025-02-13 11:45:04
Paris,5.4,71.0,2025-02-13 11:45:04
Paris,5.4,71.0,2025-02-13 11:45:03
Paris,5.4,71.0,2025-02-13 11:45:03
Paris,5.4,71.0,2025-02-13 11:45:03
Paris,5.37,71.0,2025-02-13 11:55:21
Paris,5.37,71.0,2025-02-13 11:55:21
Paris,5.37,71.0,2025-02-13 11:55:21
Paris,5.37,67.0,2025-02-13 11:55:21
Paris,5.37,67.0,2025-02-13 11:55:21
Paris,5.44,67.0,2025-02-13 11:50:21
Paris,5.37,67.0,2025-02-13 12:00:20
Paris,5.37,67.0,2025-02-13 11:55:21
Paris,5.37,67.0,2025-02-13 11:55:21
Paris,5.37,67.0,2025-02-13 11:55:21
Paris,5.37,67.0,2025-02-13 11:55:21
Paris,5.37,67.0,2025-02-13 12:05:14
Paris,5.37,67.0,2025-02-13 12:00:13
Paris,5.37,67.0,2025-02-13 12:00:13
Paris,5.37,67.0,2025-02-13 12:00:13
Paris,5.37,67.0,2025-02-13 12:00:13
Paris,5.37,67.0,2025-02-13 12:00:13
Paris,5.37,67.0,2025-02-13 12:05:34
Paris,5.37,67.0,2025-02-13 12:05:34
Paris,5.37,67.0,2025-02-13 12:05:34
Paris,5.57,67.0,2025-02-13 12:15:55
Paris,5.57,67.0,2025-02-13 12:15:59
Paris,5.57,67.0,2025-02-13 12:15:59
Paris,5.57,67.0,2025-02-13 12:10:26
Paris,5.57,67.0,2025-02-13 12:10:26
Paris,5.57,67.0,2025-02-13 12:10:26
Paris,5.73,67.0,2025-02-13 12:18:04
Paris,5.79,67.0,2025-02-13 12:23:14
Paris,5.79,67.0,2025-02-13 12:23:14
Paris,5.79,67.0,2025-02-13 12:23:14
Paris,5.79,67.0,2025-02-13 12:21:09
Paris,5.79,67.0,2025-02-13 12:25:59
Paris,5.79,67.0,2025-02-13 12:28:19
Paris,5.79,67.0,2025-02-13 12:26:02
